year	sex	name	n	prop
1880	F	Caroline	306	0.00313509
1880	F	Hannah	221	0.00226423
1880	F	Helena	60	6.1472e-4
1880	F	Teresa	50	5.1227e-4
1880	F	Claudia	48	4.9178e-4
1880	F	Magdalena	19	1.9466e-4
1880	F	Clarice	9	9.221e-5
1880	M	Ashley	8	6.757e-5
1881	F	Caroline	316	0.0031966
1881	F	Hannah	196	0.0019827
1881	F	Helena	61	6.1707e-4
1881	F	Claudia	52	5.2602e-4
1881	F	Teresa	46	4.6533e-4
1881	F	Magdalena	20	2.0232e-4
1881	F	Clarice	8	8.093e-5
1881	M	Ashley	6	5.541e-5
1881	M	Page	5	4.618e-5
1882	F	Caroline	304	0.0026276
1882	F	Hannah	214	0.00184969
1882	F	Helena	60	5.186e-4
1882	F	Teresa	50	4.3217e-4
1882	F	Claudia	49	4.2353e-4
1882	F	Magdalena	33	2.8523e-4
1882	F	Clarice	8	6.915e-5
1882	M	Ashley	7	5.736e-5
1883	F	Caroline	321	0.00267369
1883	F	Hannah	209	0.00174081
1883	F	Helena	69	5.7472e-4
1883	F	Teresa	64	5.3307e-4
1883	F	Claudia	58	4.831e-4
1883	F	Magdalena	27	2.2489e-4
1883	F	Clarice	10	8.329e-5
1883	M	Ashley	9	8.002e-5
1884	F	Caroline	380	0.00276191
1884	F	Hannah	275	0.00199875
1884	F	Helena	86	6.2506e-4
1884	F	Teresa	78	0.00056692000000000005
1884	F	Claudia	50	3.6341e-4
1884	F	Magdalena	31	2.2531e-4
1884	F	Clarice	18	1.3083e-4
1884	M	Ashley	6	4.888e-5
1885	F	Caroline	399	0.00281089
1885	F	Hannah	236	0.00166258
1885	F	Helena	86	6.0586e-4
1885	F	Claudia	67	4.72e-4
1885	F	Teresa	66	4.6496e-4
1885	F	Magdalena	32	2.2543e-4
1885	F	Clarice	19	1.3385e-4
1885	M	Ashley	13	1.1212e-4
1886	F	Caroline	370	0.00240674
1886	F	Hannah	254	0.00165219
1886	F	Teresa	84	5.4639e-4
1886	F	Helena	69	4.4882e-4
1886	F	Claudia	59	3.8378e-4
